black_decile,min_value_per_cap,mean_value_per_cap,median_value_per_cap,max_value_per_cap,year
1,0,135.82246685867673,129.87679671457906,414.26238432226455,2021
2,43.10344827586207,181.23403572280603,193.6749321768093,283.74205267938237,2021
3,7.237635705669481,175.0158261086856,190.58240236676212,328.5059849268509,2021
4,2.5998581895532973,158.3718090362575,173.4298470814378,362.22484276729557,2021
5,70.63631056625803,167.63926936709868,165.48001971006195,263.3142857142857,2021
6,33.06696059520529,160.7085186571818,168.5508427776337,330.50725678976863,2021
7,0,148.6785311273418,145.41583877377235,286.9419909286226,2021
8,0,145.48063462356384,141.84553384334262,492.2680412371134,2021
9,0,107.01776786740606,108.58087863932042,334.971546818417,2021
10,0,110.18305891849212,102.22966446869465,256.70103092783506,2021
NA,NA,NA,NA,NA,2021
1,0,150.45286995742026,153.4139615895236,287.08133971291863,2012
2,33.40365682137834,193.55030453888327,199.50200528406606,328.94736842105266,2012
3,56.01469237832874,183.39446138915363,191.29024803160183,327.9467680608365,2012
4,0,164.1414772232401,162.1591119695715,330.96590909090907,2012
5,0,156.05411504416782,154.25895834539358,268.66151866151864,2012
6,5.8809115412889,127.32186717621639,134.44753946146704,324.04622447364255,2012
7,78.72539831302718,177.82217770054328,178.30423940149626,326.959332076488,2012
8,0,97.06312986747396,77.82966422059151,309.5684803001876,2012
9,0,138.68778228678573,157.40740740740742,335.0344475631539,2012
10,0,114.52470842117074,108.41768779968034,312.5,2012
NA,NA,NA,NA,NA,2012
